Date,US_sm63,UK_sm63,JP_sm63,DE_sm63,IT_sm63
2023-03-14,3.629484126984127,3.5737285714285716,0.43553968253968256,2.387420634920635,4.247460317460318
2023-03-15,3.6291666666666664,3.579177777777778,0.4351111111111111,2.3899603174603175,4.247936507936508
2023-03-16,3.6278968253968253,3.5836492063492065,0.43338095238095237,2.3905952380952384,4.246349206349206
2023-03-17,3.6310714285714285,3.58785753968254,0.43222222222222223,2.3918650793650795,4.245238095238095
2023-03-20,3.631706349206349,3.596673412698413,0.4309365079365079,2.3947222222222218,4.24968253968254
2023-03-21,3.6293253968253967,3.605163888888889,0.4298571428571428,2.3955158730158734,4.250952380952381
2023-03-22,3.6251984126984125,3.6106099206349205,0.42858730158730163,2.3944047619047617,4.25
2023-03-23,3.621547619047619,3.6162988095238098,0.42730158730158735,2.3931349206349206,4.25
2023-03-24,3.6198015873015876,3.622445634920635,0.4261428571428571,2.3931349206349206,4.25047619047619
2023-03-27,3.617579365079365,3.6289583333333333,0.42487301587301585,2.393293650793651,4.252698412698413
2023-03-28,3.6126587301587305,3.633410714285714,0.42376190476190473,2.39218253968254,4.252380952380952
2023-03-29,3.6074206349206346,3.636713888888889,0.4219206349206349,2.3902777777777775,4.251587301587302
2023-03-30,3.6025,3.6400218253968255,0.420015873015873,2.388055555555556,4.250793650793651
2023-03-31,3.597579365079365,3.643925,0.4184603174603175,2.385357142857143,4.248571428571429
2023-04-03,3.5925,3.6473789682539683,0.4167619047619047,2.3831349206349204,4.246507936507936
2023-04-04,3.588531746031746,3.650723412698413,0.41461904761904766,2.3818650793650793,4.2450793650793655
2023-04-05,3.5842857142857145,3.6572424603174603,0.41268253968253965,2.3818650793650793,4.244761904761904
2023-04-06,3.5803174603174606,3.6620773809523812,0.4110634920634921,2.3802777777777773,4.241269841269841
2023-04-07,3.576984126984127,3.6672329365079364,0.4093492063492063,2.379007936507937,4.239047619047619
2023-04-10,3.5741269841269845,3.6741726190476194,0.4080952380952381,2.3788492063492064,4.237936507936508
2023-04-11,3.5706349206349204,3.681026587301587,0.40668253968253965,2.3778968253968253,4.236349206349206
2023-04-12,3.5692063492063495,3.68968373015873,0.4056190476190476,2.377261904761905,4.235873015873016
2023-04-13,3.567301587301587,3.6979789682539685,0.40422222222222226,2.3753571428571427,4.2346031746031745
2023-04-14,3.56265873015873,3.704961507936508,0.4032063492063492,2.3707539682539682,4.22984126984127
2023-04-17,3.556468253968254,3.71098373015873,0.40214285714285714,2.3639285714285716,4.222539682539682
2023-04-18,3.5512301587301587,3.7162345238095242,0.400984126984127,2.357261904761905,4.215396825396826
2023-04-19,3.545357142857143,3.721093253968254,0.3997936507936508,2.3494841269841267,4.206507936507936
2023-04-20,3.540912698412699,3.7264757936507937,0.39828571428571424,2.3434523809523813,4.197936507936507
2023-04-21,3.5363095238095243,3.7340075396825396,0.3971587301587301,2.3393253968253966,4.192063492063492
2023-04-24,3.5326587301587304,3.740845634920635,0.39582539682539686,2.3353571428571427,4.188412698412699
2023-04-25,3.5340873015873013,3.751675793650794,0.39609523809523806,2.3353571428571427,4.188412698412699
2023-04-26,3.536944444444445,3.765247222222222,0.39884126984126983,2.3378968253968258,4.188412698412699
2023-04-27,3.5386904761904763,3.776577380952381,0.4011269841269841,2.3372619047619048,4.185873015873017
2023-04-28,3.5421825396825395,3.792061507936508,0.4027142857142857,2.3401190476190474,4.184444444444445
2023-05-01,3.546626984126984,3.808804365079365,0.40485714285714286,2.34297619047619,4.182539682539683
2023-05-02,3.553611111111111,3.826058333333333,0.406968253968254,2.348849206349206,4.183015873015873
2023-05-03,3.5575793650793655,3.8432472222222227,0.41028571428571425,2.354880952380952,4.184920634920634
2023-05-04,3.560436507936508,3.8601630952380956,0.4128095238095238,2.357420634920635,4.183492063492063
2023-05-05,3.5646825396825395,3.876298015873016,0.41380952380952374,2.3612301587301587,4.183015873015873
2023-05-08,3.5703968253968252,3.8919646825396823,0.4153174603174603,2.3653571428571425,4.182539682539683
2023-05-09,3.575793650793651,3.9100853174603176,0.4172222222222222,2.369484126984127,4.183015873015873
2023-05-10,3.580079365079365,3.9263773809523808,0.4185714285714286,2.3729761904761904,4.183809523809525
2023-05-11,3.583095238095238,3.9406535714285718,0.41938095238095235,2.3742460317460314,4.1814285714285715
2023-05-12,3.5854761904761903,3.955071031746032,0.4198730158730159,2.3739285714285714,4.1780952380952385
2023-05-15,3.5889682539682544,3.9694519841269837,0.42058730158730157,2.374087301587302,4.174126984126984
2023-05-16,3.592619047619048,3.9830345238095237,0.42098412698412696,2.3745634920634924,4.172539682539683
