Date,IT_DE_spread_bp_sm63,ES_DE_spread_bp_sm63,FR_DE_spread_bp_sm63
2003-08-14,13.678571428571432,2.4619047619047665,0.8412698412698508
2003-08-15,13.662698412698415,2.400000000000005,0.8888888888888988
2003-08-18,13.630952380952387,2.3793650793650842,0.8730158730158832
2003-08-19,13.662698412698418,2.3539682539682585,0.9365079365079461
2003-08-20,13.662698412698417,2.26507936507937,0.9682539682539771
2003-08-21,13.710317460317462,2.149206349206354,1.0158730158730238
2003-08-22,13.757936507936511,2.1857142857142904,1.0793650793650873
2003-08-25,13.789682539682541,2.153968253968258,1.1587301587301664
2003-08-26,13.805555555555557,2.1904761904761947,1.2380952380952461
2003-08-27,13.821428571428575,2.126984126984132,1.3333333333333415
2003-08-28,13.805555555555557,2.379365079365083,1.476190476190484
2003-08-29,13.789682539682541,2.298412698412702,1.5396825396825464
2003-09-01,13.789682539682541,2.292063492063495,1.460317460317466
2003-09-02,13.773809523809526,2.2063492063492087,1.5396825396825449
2003-09-03,13.757936507936511,2.1539682539682574,1.5555555555555618
2003-09-04,13.742063492063496,2.2047619047619067,1.666666666666672
2003-09-05,13.757936507936511,2.125396825396827,1.6825396825396874
2003-09-08,13.742063492063496,2.258730158730162,1.7301587301587356
2003-09-09,13.742063492063494,2.2555555555555573,1.8253968253968302
2003-09-10,13.726190476190476,2.165079365079368,1.8412698412698472
2003-09-11,13.710317460317462,2.196825396825399,1.9523809523809588
2003-09-12,13.694444444444446,2.1777777777777803,2.0158730158730225
2003-09-15,13.694444444444448,2.2904761904761943,2.0634920634920704
2003-09-16,13.662698412698417,2.2126984126984173,2.1269841269841354
2003-09-17,13.615079365079369,2.0396825396825427,2.1269841269841354
2003-09-18,13.551587301587306,2.0539682539682564,2.1428571428571503
2003-09-19,13.503968253968257,1.8809523809523832,2.1746031746031806
2003-09-22,13.456349206349207,1.8238095238095253,2.2063492063492105
2003-09-23,13.440476190476192,1.6984126984127002,2.238095238095242
2003-09-24,13.40873015873016,1.6111111111111134,2.2857142857142905
2003-09-25,13.40873015873016,1.546031746031749,2.3015873015873063
2003-09-26,13.392857142857144,1.5349206349206372,2.285714285714289
2003-09-29,13.345238095238095,1.4952380952380981,2.3174603174603217
2003-09-30,13.222222222222221,1.4571428571428602,2.3492063492063537
